anomaly_type,locus,observed_5star,baseline,z,poisson_p,survives_fdr,benign_explanation,resolving_data
weekly_5star_burst,2023-03-13/2023-03-19,53,8.9,9.3,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2023-10-02/2023-10-08,71,17.2,4.2,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2018-09-24/2018-09-30,27,2.8,12.4,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2023-09-25/2023-10-01,56,14.3,9.6,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2023-03-20/2023-03-26,50,12.7,2.8,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2019-08-05/2019-08-11,21,2.2,4.5,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2019-07-29/2019-08-04,14,1.5,5.7,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2020-05-04/2020-05-10,36,13.0,4.8,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2018-04-23/2018-04-29,25,9.7,1.1,0.0,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
weekly_5star_burst,2022-01-24/2022-01-30,39,20.2,4.3,0.0001,True,Trustpilot invitation/course-completion email batch -> same-week 5-star burst of short generic praise from first-time reviewers; indistinguishable from padding here.,Trustpilot invitation logs / review-source flag / IP / completion timestamps
near_dup_specific_text,cluster_66,12,,,,,"Customers reusing a template phrase, or one reviewer multiple courses; long-specific dups are weak evidence at best.",reviewer identity / account linkage
near_dup_specific_text,cluster_1553,6,,,,,"Customers reusing a template phrase, or one reviewer multiple courses; long-specific dups are weak evidence at best.",reviewer identity / account linkage
near_dup_specific_text,cluster_93,4,,,,,"Customers reusing a template phrase, or one reviewer multiple courses; long-specific dups are weak evidence at best.",reviewer identity / account linkage
near_dup_specific_text,cluster_809,3,,,,,"Customers reusing a template phrase, or one reviewer multiple courses; long-specific dups are weak evidence at best.",reviewer identity / account linkage
near_dup_specific_text,cluster_1649,3,,,,,"Customers reusing a template phrase, or one reviewer multiple courses; long-specific dups are weak evidence at best.",reviewer identity / account linkage
